阿Q	ĀQ
型号	xínghào
醒觉	xǐngjiào
醒目	xǐngmù
醒悟	xǐngwù
杏干	xìnggān
杏核	xìnghé
杏红	xìnghóng
杏黄色	xìnghuángsè
姓名	xìngmíng
姓甚名谁	xìngshènmíngshuí
幸存	xìngcún
幸得	xìngdé
幸而	xìngér
幸福	xìngfú
幸福观	xìngfúguān
幸好	xìnghǎo
幸会	xìnghuì
幸免	xìngmiǎn
幸免于难	xìngmiǎnyúnán
幸甚	xìngshèn
幸运	xìngyùn
幸灾乐祸	xìngzāilèhuò
性别	xìngbié
性别比	xìngbiébǐ
性恶论	xìngèlùn
性格	xìnggé
性关系	xìngguānxi
性急	xìngjí
性教育	xìngjiàoyù
性解放	xìngjiěfàng
性命	xìngmìng
性命交关	xìngmìngjiāoguān
性命攸关	xìngmìngyōuguān
性能	xìngnéng
性虐待	xìngnüèdài
性情	xìngqíng
性染色体	xìngrǎnsètǐ
性行	xìngxíng
性行为	xìngxíngwéi
性选择	xìngxuǎnzé
性早熟	xìngzǎoshú
性质	xìngzhì
性周期	xìngzhōuqī
凶暴	xiōngbào
凶残	xiōngcán
凶多	xiōngduō
凶多吉少	xiōngduōjíshǎo
凶恶	xiōngè
凶悍	xiōnghàn
凶狠	xiōnghěn
凶横	xiōnghèng
凶猛	xiōngměng
凶器	xiōngqì
凶杀	xiōngshā
凶神恶煞	xiōngshénèshà
凶手	xiōngshǒu
凶险	xiōngxiǎn
凶相毕露	xiōngxiàngbìlù
兄长	xiōngzhǎng
兄弟党	xiōngdìdǎng
兄妹	xiōngmèi
汹涌	xiōngyǒng
汹涌澎湃	xiōngyǒngpéngpài
胸骨	xiōnggǔ
胸怀	xiōnghuái
胸怀大志	xiōnghuáidàzhì
胸襟	xiōngjīn
胸卡	xiōngkǎ
胸口	xiōngkǒu
胸膛	xiōngtáng
胸无城府	xiōngwúchéngfǔ
胸无大志	xiōngwúdàzhì
胸无点墨	xiōngwúdiǎnmò
胸有成竹	xiōngyǒuchéngzhú
胸中无数	xiōngzhōngwúshù
胸中有数	xiōngzhōngyǒushù
雄辩	xióngbiàn
雄才大略	xióngcáidàluè
雄大	xióngdà
雄风	xióngfēng
雄关	xióngguān
雄厚	xiónghòu
雄劲	xióngjìn
雄奇	xióngqí
雄图大略	xióngtúdàlüè
雄伟	xióngwěi
雄心	xióngxīn
雄心勃勃	xióngxīnbóbó
雄心壮志	xióngxīnzhuàngzhì
雄鹰	xióngyīng
雄壮	xióngzhuàng
雄姿	xióngzī
雄姿英发	xióngzīyīngfā
熊猫	xióngmāo
熊熊	xióngxióng
休会	xiūhuì
休假	xiūjià
休假日	xiūjiàrì
休克	xiūkè
休眠期	xiūmiánqī
休妻	xiūqī
休戚相关	xiūqīxiāngguān
休戚与共	xiūqīyǔgòng
休憩	xiūqì
休闲	xiūxián
休闲服	xiūxiánfú
休想	xiūxiǎng
休养	xiūyǎng
休养生息	xiūyǎngshēngxī
休养所	xiūyǎngsuǒ
休渔期	xiūyúqī
休战	xiūzhàn
休整	xiūzhěng
休止	xiūzhǐ
修补	xiūbǔ
修长	xiūcháng
修车	xiūchē
修车铺	xiūchēpū
修辞	xiūcí
修订	xiūdìng
修订本	xiūdìngběn
修复	xiūfù
修改	xiūgǎi
修好	xiūhǎo
修剪	xiūjiǎn
修建	xiūjiàn
修旧利废	xiūjiùlìfèi
修理	xiūlǐ
修炼	xiūliàn
修路	xiūlù
修配	xiūpèi
修葺	xiūqì
修桥补路	xiūqiáobǔlù
修缮	xiūshàn
修身	xiūshēn
修身养性	xiūshēnyǎngxìng
修饰	xiūshì
修饰语	xiūshìyǔ
修行	xiūxíng
修养	xiūyǎng
修造	xiūzào
修整	xiūzhěng
修正	xiūzhèng
修正案	xiūzhèngàn
修正主义	xiūzhèngzhǔyì
修筑	xiūzhù
羞耻	xiūchǐ
羞答答	xiūdádá
羞愧	xiūkuì
羞怯	xiūqiè
羞人答答	xiūréndādā
羞辱	xiūrǔ
羞涩	xiūsè
羞羞答答	xiūxiūdádá
羞与为伍	xiūyǔwéiwǔ
朽木	xiǔmù
秀才人情	xiùcáirénqíng
秀发	xiùfā
秀丽	xiùlì
秀美	xiùměi
秀气	xiùqì
秀色	xiùsè
秀色可餐	xiùsèkěcān
秀外慧中	xiùwàihuìzhōng
绣花枕头	xiùhuāzhěntóu
袖手旁观	xiùshǒupángguān
袖珍	xiùzhēn
锈菌	xiùjūn
须发	xūfā
须眉	xūméi
须要	xūyào
须臾之间	xūyúzhījiān
须知	xūzhī
虚报	xūbào
虚度	xūdù
虚度年华	xūdùniánhuá
虚构	xūgòu
虚汗	xūhàn
虚怀若谷	xūhuáiruògǔ
虚幻	xūhuàn
虚假	xūjiǎ
虚惊	xūjīng
虚空	xūkōng
虚夸	xūkuā
虚名	xūmíng
虚情假意	xūqíngjiǎyì
虚荣	xūróng
虚荣心	xūróngxīn
虚弱	xūruò
虚设	xūshè
虚实	xūshí
虚数	xūshù
虚伪	xūwěi
虚位以待	xūwèiyǐdài
虚无缥缈	xūwúpiāomiǎo
虚心	xūxīn
虚应故事	xūyìnggùshì
虚有其表	xūyǒuqíbiǎo
虚与委蛇	xūyǔwēiyí
虚张	xūzhāng
虚张声势	xūzhāngshēngshì
虚症	xūzhèng
嘘寒问暖	xūhánwènnuǎn
需求	xūqiú
需求量	xūqiúliàng
需水量	xūshuǐliàng
需氧量	xūyǎngliàng
需要	xūyào
需要量	xūyàoliàng
需用	xūyòng
徐娘半老	xúniángbànlǎo
徐州	xúzhōu
许多	xǔduō
许久	xǔjiǔ
许可	xǔkě
许可证	xǔkězhèng
许诺	xǔnuò
许许多多	xǔxǔduōduō
许愿	xǔyuàn
栩栩如生	xǔxǔrúshēng
旭日东升	xùrìdōngshēng
序号	xùhào
序列	xùliè
序论	xùlùn
序幕	xùmù
序曲	xùqǔ
序数	xùshù
序言	xùyán
叙别	xùbié
叙旧	xùjiù
叙事曲	xùshìqǔ
叙述	xùshù
叙说	xùshuō
叙谈	xùtán
畜产	xùchǎn
畜产品	xùchǎnpǐn
畜肥	chùféi
畜类	chùlèi
畜力	chùlì
畜牧	xùmù
畜牧场	xùmùchǎng
畜牧业	xùmùyè
畜禽	chùqín
畜牲	chùshēng
畜养	xùyǎng
畜疫	chùyì
绪论	xùlùn
绪言	xùyán
续编	xùbiān
续集	xùjí
续假	xùjiǎ
续建	xùjiàn
续签	xùqiān
酗酒	xùjiǔ
絮叨	xùdáo
絮叨叨	xùdáodāo
絮语	xùyǔ
嗅觉	xiùjué
蓄发	xùfā
蓄洪	xùhóng
蓄积	xùjī
蓄积量	xùjīliàng
蓄谋	xùmóu
蓄谋已久	xùmóuyǐjiǔ
蓄水	xùshuǐ
蓄水量	xùshuǐliàng
蓄意	xùyì
轩然大波	xuānrándàbō
轩辕	xuānyuán
宣布	xuānbù
宣称	xuānchēng
宣传	xuānchuán
宣传部	xuānchuánbù
宣传部长	xuānchuánbùzhǎng
宣传册	xuānchuáncè
宣传车	xuānchuánchē
宣传弹	xuānchuándàn
宣传队	xuānchuánduì
宣传费	xuānchuánfèi
宣传画	xuānchuánhuà
宣传科	xuānchuánkē
宣传栏	xuānchuánlán
宣传品	xuānchuánpǐn
宣传性	xuānchuánxìng
宣传员	xuānchuányuán
宣传周	xuānchuánzhōu
宣读	xuāndú
宣告	xuāngào
宣讲	xuānjiǎng
宣教	xuānjiāo
宣判	xuānpàn
宣誓	xuānshì
宣誓就职	xuānshìjiùzhí
宣泄	xuānxiè
宣叙调	xuānxùdiào
宣言	xuānyán
宣扬	xuānyáng
宣战	xuānzhàn
喧宾夺主	xuānbīnduózhǔ
喧哗	xuānhuá
喧闹	xuānnào
喧嚷	xuānrǎng
喧嚣	xuānxiāo
玄参	xuánshēn
玄秘	xuánmì
玄之又玄	xuánzhīyòuxuán
悬案	xuánàn
悬灯结彩	xuándēngjiécǎi
悬而	xuánér
悬而未决	xuánérwèijué
悬浮	xuánfú
悬挂	xuánguà
悬空	xuánkōng
悬梁刺骨	xuánliángcìgǔ
悬梁自尽	xuánliángzìjìn
悬念	xuánniàn
悬赏	xuánshǎng
悬殊	xuánshū
悬心吊胆	xuánxīndiàodǎn
悬崖绝壁	xuányájuébì
悬崖勒马	xuányálèmǎ
悬崖峭壁	xuányáqiàobì
旋床	xuánchuáng
旋动	xuándòng
旋度	xuándù
旋风	xuànfēng
旋风装	xuànfēngzhuāng
旋耕机	xuángēngjī
旋光性	xuánguāngxìng
旋滚	xuángǔn
旋回	xuánhuí
旋即	xuánjí
旋流	xuánliú
旋律	xuánlǜ
旋毛虫	xuánmáochóng
旋木雀	xuánmùquè
旋纽	xuánniǔ
旋钮	xuánniǔ
旋绕	xuánrào
旋梯	xuántī
旋涡	xuánwō
旋涡星云	xuánwōxīngyún
旋压	xuányā
旋踵	xuánzhǒng
旋转	xuánzhuǎn
旋转门	xuánzhuǎnmén
旋转乾坤	xuánzhuǎnqiánkūn
旋转体	xuánzhuǎntǐ
旋转轴	xuánzhuǎnzhóu
旋子	xuánzǐ
选拔	xuǎnbá
选拔赛	xuǎnbásài
选材	xuǎncái
选场	xuǎnchǎng
选出	xuǎnchū
选单	xuǎndān
选调	xuǎndiào
选定	xuǎndìng
选读	xuǎndú
选购	xuǎngòu
选集	xuǎnjí
选举	xuǎnjǔ
选举法	xuǎnjǔfǎ
选举权	xuǎnjǔquán
选民	xuǎnmín
选派	xuǎnpài
选配	xuǎnpèi
选票	xuǎnpiào
选聘	xuǎnpìn
选区	xuǎnqū
选曲	xuǎnqǔ
选取	xuǎnqǔ
选任	xuǎnrèn
选送	xuǎnsòng
选题	xuǎntí
选用	xuǎnyòng
选择	xuǎnzé
选择题	xuǎnzétí
选择性	xuǎnzéxìng
选种	xuánzhǒng
烜赫一时	xuǎnhèyīshí
炫耀	xuànyào
炫玉贾石	xuànyùgǔshí
绚烂	xuànlàn
绚丽	xuànlì
绚丽多彩	xuànlìduōcǎi
绚丽多姿	xuànlìduōzī
眩晕	xuànyūn
渲染	xuànrǎn
穴居野处	xuéjūyěchǔ
学部	xuébù
学部委员	xuébùwěiyuán
学长	xuézhǎng
学成	xuéchéng
学而不厌	xuéérbùyàn
学费	xuéfèi
学分	xuéfēn
学分制	xuéfēnzhì
学富五车	xuéfùwǔchē
学贯中西	xuéguànzhōngxī
学好	xuéhǎo
学会	xuéhuì
学监	xuéjiān
学界	xuéjiè
学科	xuékē
学历	xuélì
学龄儿童	xuélíngértóng
学龄前	xuélíngqián
学龄前儿童	xuélíngqiánértóng
学期	xuéqī
学前教育	xuéqiánjiàoyù
学前期	xuéqiánqī
学区	xuéqū
学生会	xuéshēnghuì
学生运动	xuéshēngyùndòng
学识	xuéshí
学士	xuéshì
学术	xuéshù
学术界	xuéshùjiè
学术性	xuéshùxìng
学说	xuéshuō
学徒	xuétú
学位	xuéwèi
学无止境	xuéwúzhǐjìng
学习	xuéxí
学习班	xuéxíbān
学习态度	xuéxítàidù
学校	xuéxiào
学业	xuéyè
学以致用	xuéyǐzhìyòng
学有所长	xuéyǒusuǒcháng
学有专长	xuéyǒuzhuāncháng
学院	xuéyuàn
学者	xuézhě
学制	xuézhì
雪白	xuěbái
雪暴	xuěbào
雪崩	xuěbēng
雪车	xuěchē
雪佛莱	xuěfólái
雪柜	xuěguì
雪花	xuěhuā
雪花膏	xuěhuāgāo
雪里红	xuělǐhóng
雪亮	xuěliàng
雪泥鸿爪	xuěníhóngzhǎo
雪茄	xuějiā
雪茄烟	xuějiāyān
雪山	xuěshān
雪上加霜	xuěshàngjiāshuāng
雪压	xuěyā
雪原	xuěyuán
雪中送炭	xuězhōngsòngtàn
血癌	xuèái
血案	xuèàn
血斑	xuèbān
血本	xuèběn
血本无归	xuèběnwúguī
血崩	xuèbēng
血泊	xuèpō
血常规	xuèchángguī
血沉	xuèchén
血仇	xuèchóu
血滴	xuèdī
血防	xuèfáng
血粉	xuèfěn
血管	xuèguǎn
血管瘤	xuèguǎnliú
血海	xuèhǎi
血海深仇	xuèhǎishēnchóu
血汗	xuèhàn
血汗钱	xuèhànqián
血痕	xuèhén
血红	xuèhóng
血红蛋白	xuèhóngdànbái
血红素	xuèhóngsù
血糊糊	xiěhúhú
血迹	xuèjì
血迹斑斑	xuèjìbānbān
血浆	xuèjiāng
血口	xuèkǒu
血口喷人	xuèkǒupēnrén
血枯病	xuèkūbìng
血库	xuèkù
血块	xuèkuài
血亏	xuèkuī
血泪	xuèlèi
血泪斑斑	xuèlèibānbān
血泪史	xuèlèishǐ
血淋淋	xiělínlín
血流成河	xuèliúchénghé
血流如注	xuèliúrúzhù
血路	xuèlù
血脉	xuèmài
血脉相通	xuèmàixiāngtōng
血尿	xuèniào
血浓于水	xuènóngyúshuǐ
血泡	xuèpào
血盆大口	xuèpéndàkǒu
血气	xuèqì
血气方刚	xuèqìfānggāng
血亲	xuèqīn
血青素	xuèqīngsù
血清	xuèqīng
血清病	xuèqīngbìng
血清学	xuèqīngxué
血球	xuèqiú
血肉	xuèròu
血肉横飞	xuèròuhéngfēi
血肉相连	xuèròuxiānglián
血肉相联	xuèròuxiānglián
血肉之躯	xuèròuzhīqū
血色	xuèsè
血色素	xuèsèsù
血书	xuèshū
血栓	xuèshuān
血栓形成	xuèshuānxíngchéng
血水	xuèshuǐ
血丝	xuèsī
血丝虫病	xuèsīchóngbìng
血丝乎拉	xuèsīhūlā
血糖	xuètáng
血统	xuètǒng
血统工人	xuètǒnggōngrén
血统论	xuètǒnglùn
血污	xuèwū
血吸虫	xuèxīchóng
血吸虫病	xuèxīchóngbìng
血洗	xuèxǐ
血细胞	xuèxìbāo
血象	xuèxiàng
血小板	xuèxiǎobǎn
血腥	xuèxīng
血型	xuèxíng
血性	xuèxìng
血性汉子	xuèxìnghànzi
血胸	xuèxiōng
血虚	xuèxū
血循环	xuèxúnhuán
血压	xuèyā
血压计	xuèyājì
血样	xuèyàng
血液	xuèyè
血液病	xuèyèbìng
血液学	xuèyèxué
血衣	xuèyī
血印	xuèyìn
血友病	xuèyǒubìng
血雨腥风	xuèyǔxīngfēng
血缘	xuèyuán
血晕	xiěyūn
血债	xuèzhài
血债累累	xuèzhàilěilěi
血债血还	xuèzhàixuèhái
血战	xuèzhàn
血账	xuèzhàng
血证	xuèzhèng
血脂	xuèzhī
血肿	xuèzhǒng
血渍	xuèzì
勋章	xūnzhāng
熏染	xūnrǎn
熏陶	xūntáo
熏衣草	xūnyīcǎo
薰陶	xūntáo
薰莸不同器	xūnyóubùtóngqì
寻常	xúncháng
寻短见	xúnduǎnjiàn
寻访	xúnfǎng
寻根	xúngēn
寻根究底	xúngēnjiūdǐ
寻花问柳	xúnhuāwènliǔ
寻欢作乐	xúnhuānzuòlè
寻机	xúnjī
寻觅	xúnmì
寻亲	xúnqīn
寻亲访友	xúnqīnfǎngyǒu
寻求	xúnqiú
寻食	xúnshí
寻死觅活	xúnsǐmìhuó
寻衅	xúnxìn
寻章摘句	xúnzhāngzhāijù
寻找	xúnzhǎo
寻枝摘叶	xúnzhīzhāiyè
巡查	xúnchá
巡航导弹	xúnhángdǎodàn
巡回	xúnhuí
巡逻	xúnluó
巡逻车	xúnluóchē
巡视	xúnshì
巡行	xúnxíng
巡洋舰	xúnyángjiàn
巡诊	xúnzhěn
驯服	xùnfú
驯化	xùnhuà
驯熟	xùnshú
询问	xúnwèn
循规蹈矩	xúnguīdǎojǔ
循环	xúnhuán
循环连分数	xúnhuánliánfēnshù
循环论	xúnhuánlùn
循环论证	xúnhuánlùnzhèng
循环赛	xúnhuánsài
循环往复	xúnhuánwǎngfù
循环系统	xúnhuánxìtǒng
循环小数	xúnhuánxiǎoshù
循名责实	xúnmíngzéshí
循序渐进	xúnxùjiànjìn
循循善诱	xúnxúnshànyòu
训斥	xùnchì
训导	xùndǎo
训读	xùndú
训话	xùnhuà
训教	xùnjiāo
训诫	xùnjiè
训练	xùnliàn
训练班	xùnliànbān
训练场	xùnliànchǎng
训练有素	xùnliànyǒusù
训令	xùnlìng
讯号	xùnhào
讯问	xùnwèn
讯息	xùnxī
汛期	xùnqī
汛情	xùnqíng
迅即	xùnjí
迅捷	xùnjié
迅雷不及掩耳	xùnléibùjíyǎněr
迅猛	xùnměng
迅速	xùnsù
徇情	xùnqíng
徇情枉法	xùnqíngwǎngfǎ
徇私	xùnsī
徇私舞弊	xùnsīwǔbì
逊色	xùnsè
殉教	xùnjiāo
殉难	xùnnàn
殉职	xùnzhí
压板	yābǎn
压宝	yābǎo
压扁	yābiǎn
压不住	yābuzhù
压差	yāchà
压场	yāchǎng
压车	yāchē
压秤	yāchèng
压船	yāchuán
压担子	yādànzi
压倒	yādǎo
压倒性	yādǎoxìng
压倒一切	yādǎoyīqiè
压得住	yādezhù
压低	yādī
压电	yādiàn
压电效应	yādiànxiàoyīng
压顶	yādǐng
压队	yāduì
压服	yāfú
压盖	yāgài
压根	yāgēn
压根儿	yāgēnér
压光	yāguāng
压坏	yāhuài
压挤	yājǐ
压价	yājià
压惊	yājīng
压境	yājìng
压卷	yājuǎn
压卷之作	yājuǎnzhīzuò
压库	yākù
压垮	yākuǎ
压力	yālì
压力表	yālìbiǎo
压力锅	yālìguō
压力机	yālìjī
压力计	yālìjì
压力壳	yālìké
压滤	yālǜ
压路机	yālùjī
压盘	yāpán
压平	yāpíng
压迫	yāpò
压迫者	yāpòzhě
压气	yāqì
压强	yāqiáng
压青	yāqīng
压舌板	yāshébǎn
压岁	yāsuì
压岁钱	yāsuìqián
压碎	yāsuì
压缩	yāsuō
压缩比	yāsuōbǐ
压缩饼干	yāsuōbǐnggān
压缩机	yāsuōjī
压缩空气	yāsuōkōngqì
压缩疗法	yāsuōliáofǎ
压缩性	yāsuōxìng
压台	yātái
压条	yātiáo
压痛	yātòng
压头	yātóu
压腿	yātuǐ
压弯	yāwān
压线	yāxiàn
压压	yāyā
压延	yāyán
压延机	yāyánjī
压仰	yāyǎng
压抑	yāyì
压抑感	yāyìgǎn
压印	yāyìn
压韵	yāyùn
压榨	yāzhà
压榨机	yāzhàjī
压阵	yāzhèn
压制	yāzhì
压制性	yāzhìxìng
压轴戏	yāzhòuxì
压轴子	yāzhóuzǐ
压住	yāzhù
压铸	yāzhù
押车	yāchē
押当	yādàng
押解	yājiè
押金	yājīn
押禁	yājìn
押尾	yāwěi
押运	yāyùn
鸦飞雀乱	yāfēiquèluàn
鸦雀无声	yāquèwúshēng
鸭绿江	yālùjiāng
鸭行鹅步	yāxíngébù
牙白口清	yábáikǒuqīng
牙齿	yáchǐ
牙缝	yáféng
牙膏	yágāo
牙冠	yáguàn
牙色	yásè
牙石	yáshí
牙刷	yáshuā
牙行	yáxíng
牙牙学语	yáyáxuéyǔ
睚眦必报	yázìbìbào
衙内	yánèi
哑巴吃黄连	yǎbɑchīhuánglián
哑巴亏	yǎbɑkuī
哑场	yáchǎng
哑弹	yǎdàn
哑火	yǎhuǒ
哑剧	yǎjù
哑口	yǎkǒu
哑口无言	yǎkǒuwúyán
哑铃	yǎlíng
哑迷	yǎmí
哑谜	yǎmí
哑炮	yǎpào
哑然	yǎrán
哑然失笑	yǎránshīxiào
哑然无声	yǎránwúshēng
哑哑	yāyǎ
哑语	yǎyǔ
雅各宾派	yǎgèbīnpài
雅观	yǎguān
雅号	yǎhào
雅库茨克	yǎkùcíkè
雅乐	yǎyuè
雅量	yǎliàng
雅鲁藏布江	yǎlǔcángbùjiāng
雅趣	yǎqù
雅俗	yǎsú
雅俗共赏	yǎsúgòngshǎng
雅温得	yǎwēndé
雅兴	yǎxìng
亚伯拉罕	yàbólāhǎn
亚当	yàdāng
亚当斯敦	yàdāngsīdūn
亚得里亚海	yàdélǐyàhǎi
亚尔伯特	yàěrbótè
亚非会议	yàfēihuìyì
亚非拉	yàfēilā
亚军	yàjūn
亚历克斯	yàlìkèsī
亚历克西斯	yàlìkèxīsī
亚历山大	yàlìshāndà
亚历山德拉	yàlìshāndélā
亚利桑那	yàlìsāngnà
亚利桑那州	yàlìsāngnàzhōu
亚穆苏克罗	yàmùsūkèluó
亚欧大陆	yàōudàlù
亚区	yàqū
亚热带	yàrèdài
亚热区	yàrèqū
亚太地区	yàtàidìqū
亚特兰大	yàtèlándà
亚行	yàxíng
亚运会	yàyùnhuì
亚种	yàzhǒng
亚洲	yàzhōu
亚洲及远东经济委员会	yàzhōujíyuǎndōngjīngjìwěiyuánhuì
亚洲区	yàzhōuqū
亚属	yàshǔ
揠苗助长	yàmiáozhùzhǎng
咽喉	yānhóu
咽喉炎	yānhóuyán
咽镜	yānjìng
咽气	yànqì
咽痛	yāntòng
咽头	yāntóu
咽峡炎	yānxiáyán
咽下	yànxià
咽炎	yānyán
烟波浩渺	yānbōhàomiǎo
烟草	yāncǎo
烟尘	yānchén
烟囱	yāncōng
烟斗	yāndǒu
烟斗丝	yāndǒusī
烟花炮竹	yānhuāpàozhú
烟花巷	yānhuāxiàng
烟火食	yānhuǒshí
烟卷	yānjuǎn
烟幕弹	yānmùdàn
烟色	yānsè
烟台	yāntái
烟雾	yānwù
烟雾弥漫	yānwùmímàn
烟消云散	yānxiāoyúnsàn
烟叶	yānyè
烟雨	yānyǔ
烟云过眼	yānyúnguòyǎn
胭脂红	yānzhihóng
淹没	yānmò
焉得虎子	yāndéhǔzǐ
湮没	yānmò
湮没无闻	yānmòwúwén
嫣红	yānhóng
嫣然一笑	yānrányīxiào
延安	yánān
延长线	yánchángxiàn
延迟	yánchí
延缓	yánhuǎn
延年益寿	yánniányìshòu
延期	yánqī
延伸	yánshēn
延伸率	yánshēnlǜ
延拓	yántuò
延误	yánwù
延续	yánxù
严惩	yánchéng
严惩不贷	yánchéngbùdài
严词	yáncí
严冬	yándōng
严防	yánfáng
严父	yánfù
严格	yángé
严格要求	yángéyāoqiú
严寒	yánhán
严谨	yánjǐn
严禁	yánjìn
严峻	yánjùn
严酷	yánkù
严厉	yánlì
严密	yánmì
严明	yánmíng
严守	yánshǒu
严丝合缝	yánsīhéfèng
严肃	yánsù
严肃性	yánsùxìng
严刑峻法	yánxíngjùnfǎ
严严实实	yányánshíshí
严以律己	yányǐlǜjǐ
严阵	yǎnzhèn
严阵以待	yánzhènyǐdài
严正	yánzhèng
严重	yánzhòng
严重事故	yánzhòngshìgù
严重性	yánzhòngxìng
言必有据	yánbìyǒujù
言必有中	yánbìyǒuzhòng
言不及义	yánbùjíyì
言不由衷	yánbùyóuzhōng
言差语错	yánchàyǔcuò
言出法随	yánchūfǎsuí
言传	yánchuán
言传身教	yánchuánshēnjiào
言词	yáncí
言辞	yáncí
言多语失	yánduōyǔshī
言而无信	yánérwúxìn
言而有信	yánéryǒuxìn
言归于好	yánguīyúhǎo
言归正传	yánguīzhèngzhuàn
言过其实	yánguòqíshí
言和	yánhé
言简	yánjiǎn
言简意赅	yánjiǎnyìgāi
言教	yánjiāo
言近旨远	yánjìnzhǐyuǎn
言论	yánlùn
言论自由	yánlùnzìyóu
言情小说	yánqíngxiǎoshuō
言人人殊	yánrénrénshū
言说	yánshuō
言谈	yántán
言听计从	yántīngjìcóng
言外之意	yánwàizhīyì
言为心声	yánwéixīnshēng
言无不尽	yánwúbùjìn
言无二价	yánwúèrjià
言下之意	yánxiàzhīyì
言行	yánxíng
言行不一	yánxíngbùyī
言行一致	yánxíngyīzhì
言犹在耳	yányóuzàiěr
言语妙天下	yányǔmiàotiānxià
言者无罪	yánzhěwúzuì
言之成理	yánzhīchénglǐ
言之无物	yánzhīwúwù
言之有据	yánzhīyǒujù
言之有理	yánzhīyǒulǐ
言之有物	yánzhīyǒuwù
言重	yánzhòng
岩盖	yángài
岩浆	yánjiāng
岩浆岩	yánjiāngyán
岩居穴处	yánjūxuéchù
岩脉	yánmài
岩石	yánshí
岩石层	yánshícéng
岩石圈	yánshíquān
岩石学	yánshíxué
沿岸	yánàn
沿边	yánbiān
沿革	yángé
沿海	yánhǎi
沿海地区	yánhǎidìqū
沿海开放城市	yánhǎikāifàngchéngshì
沿江	yánjiāng
沿街	yánjiē
沿路	yánlù
沿门托钵	yánméntuōbō
沿途	yántú
沿袭	yánxí
沿线	yánxiàn
沿用	yányòng
沿着	yánzhe
炎黄子孙	yánhuángzǐsūn
炎凉	yánliáng
炎热	yánrè
炎夏	yánxià
炎症	yánzhèng
研读	yándú
研发	yánfā
研究	yánjiū
研究会	yánjiūhuì
研究生	yánjiūshēng
研究室	yánjiūshì
研究所	yánjiūsuǒ
研究与开发	yánjiūyǔkāifā
研究员	yánjiūyuán
研究院	yánjiūyuàn
研究中心	yánjiūzhōngxīn
研磨	yánmó
研讨	yántǎo
研讨会	yántǎohuì
研修班	yánxiūbān
研制	yánzhì
盐场	yánchǎng
盐城	yánchéng
盐度	yándù
盐分	yánfēn
盐碱	yánjiǎn
盐碱地	yánjiǎndì
盐水选种	yánshuǐxuánzhǒng
盐业	yányè
阎罗王	yánluówáng
阎王殿	yánwángdiàn
阎王好见	yánwánghǎojiàn
阎王爷	yánwángye
阎王帐	yánwángzhàng
阎王账	yánwángzhàng
檐瓦	yánwǎ
奄奄一息	yǎnyǎnyīxī
俨然	yǎnrán
偃旗息鼓	yǎnqíxīgǔ
偃武修文	yǎnwǔxiūwén
掩鼻而过	yǎnbíérguò
掩蔽	yǎnbì
掩藏	yǎncáng
掩耳盗铃	yǎněrdàolíng
掩盖	yǎngài
掩护	yǎnhù
掩埋	yǎnmái
掩没	yǎnmò
掩目捕雀	yǎnmùbǔquè
掩人耳目	yǎnréněrmù
掩饰	yǎnshì
掩映	yǎnyìng
眼巴巴	yǎnbābā
眼不见为净	yǎnbùjiànwéijìng
眼底	yándǐ
眼底下	yándǐxiɑ
眼高手低	yǎngāoshǒudī
眼观六路	yǎnguānliùlù
眼观四路	yǎnguānsìlù
眼光	yǎnguāng
眼红	yǎnhóng
眼花缭乱	yǎnhuāliáoluàn
眼疾手快	yǎnjíshǒukuài
眼见	yǎnjiàn
眼见得	yǎnjiànde
眼见为实	yǎnjiànwéishí
眼角	yánjiǎo
眼界	yǎnjiè
眼镜	yǎnjìng
眼镜蛇	yǎnjìngshé
眼看	yǎnkàn
眼看着	yǎnkànzhe
眼泪	yǎnlèi
眼里	yǎnlǐ
眼力	yǎnlì
眼帘	yǎnlián
眼冒金星	yǎnmàojīnxīng
眼明手快	yǎnmíngshǒukuài
眼内压	yǎnnèiyā
眼内炎	yǎnnèiyán
眼泡	yǎnpāo
眼皮底下	yǎnpídǐxiɑ
眼前	yǎnqián
眼浅	yǎnqiǎn
眼圈	yǎnquān
眼热	yǎnrè
眼色	yǎnsè
眼神	yǎnshén
眼熟	yǎnshú
眼下	yǎnxià
眼压	yǎnyā
眼压计	yǎnyājì
眼药膏	yǎnyàogāo
眼晕	yǎnyùn
眼睁睁	yǎnzhēngzhēng
眼中钉	yǎnzhōngdīng
演变	yǎnbiàn
演唱	yǎnchàng
演唱会	yǎnchànghuì
演出	yǎnchū
演讲	yǎnjiǎng
演练	yǎnliàn
演示	yǎnshì
演说	yǎnshuō
演说家	yǎnshuōjiā
演习	yǎnxí
演戏	yǎnxì
演义	yǎnyì
演绎	yǎnyì
演员	yǎnyuán
演奏	yǎnzòu
演奏会	yǎnzòuhuì
厌恶	yànwù
厌烦	yànfán
厌倦	yànjuàn
厌食	yànshí
厌食症	yànshízhèng
厌世	yànshì
厌氧菌	yànyǎngjūn
厌战	yànzhàn
砚石	yànshí
唁电	yàndiàn
唁函	yànhán
宴会	yànhuì
宴会厅	yànhuìtīng
宴乐	yànlè
宴请	yànqǐng
宴席	yànxí
宴饮	yànyǐn
艳服	yànfú
艳红	yànhóng
艳丽	yànlì
验核	yànhé
验收	yànshōu
验算	yànsuàn
验血	yànxuè
验证	yànzhèng
谚语	yànyǔ
堰塞湖	yànsāihú
